county,employment_1990,employment_2015,wages_1990,wages_2015
"Ulster County, New York",59620,57295,854.1114,749
"Jim Hogg County, Texas",1259,1827,467.8572,750
"Garfield County, Washington",686,698,505.9386,750
"Taylor County, West Virginia",2775,3177,562.154,750
"Gilliam County, Oregon",477,744,580.288,750
"Mason County, Kentucky",7582,9103,582.1014,750
"Pennington County, South Dakota",34694,53626,583.9148,750
"Crook County, Wyoming",1555,2222,598.422,750
"Lyon County, Nevada",5007,11428,636.5034,750
"Callaway County, Missouri",11574,14144,640.1302,750
"Wayne County, Ohio",39469,44608,727.1734,750
"Washington County, North Carolina",3359,3477,495.0582,751
"Payne County, Oklahoma",26714,33030,547.6468,751
"Colorado County, Texas",5415,6940,553.087,751
"Lamar County, Texas",16610,19708,632.8766,751
"Shelby County, Indiana",14101,17500,636.5034,751
"Warren County, Mississippi",19184,20166,649.1972,751
"Bond County, Illinois",2721,4538,533.1396,752
"Tioga County, Pennsylvania",10986,12721,576.6612,752
"Creek County, Oklahoma",12916,19073,592.9818,752
"Greene County, Missouri",106785,158950,627.4364,752
"Canadian County, Oklahoma",15330,32240,674.5848,752
"Bethel Census Area, Alaska",4661,6746,748.9342,752
"Tooele County, Utah",10396,14539,797.896,752
"Nobles County, Minnesota",8716,10040,540.3932,753
"Mills County, Iowa",3604,3899,547.6468,753
"Colusa County, California",5305,7830,609.3024,753
"Stevens County, Kansas",1530,2108,629.2498,753
"Carroll County, Maryland",35506,55656,636.5034,753
"Lackawanna County, Pennsylvania",93185,95317,652.824,753
"Tuolumne County, California",12858,16555,654.6374,753
"Spencer County, Indiana",5683,6133,663.7044,753
"Monroe County, Alabama",10269,6076,680.025,753
"Martin County, Florida",39782,61770,692.7188,753
"Cleburne County, Alabama",2551,2175,487.8046,754
"Hanover County, Virginia",25251,47419,699.9724,754
"Ashley County, Arkansas",8982,6945,719.9198,754
"Lenawee County, Michigan",28685,26379,730.8002,754
"Morgan County, Colorado",7760,11955,527.6994,755
"Traill County, North Dakota",2685,3267,527.6994,755
"Tift County, Georgia",16131,18441,585.7282,755
"Bureau County, Illinois",10400,10906,585.7282,755
"Kent County, Delaware",40140,63751,680.025,755
"Marquette County, Michigan",23278,26395,690.9054,755
"Montgomery County, Virginia",29968,40986,699.9724,755
"Licking County, Ohio",42739,51899,703.5992,755
"Geauga County, Ohio",23436,32467,716.293,755
"Pope County, Minnesota",2467,4112,464.2304,756
"Nolan County, Texas",5730,5996,576.6612,756
"Mayes County, Oklahoma",8745,12798,654.6374,756
"Broome County, New York",102875,85298,801.5228,756
"Assumption Parish, Louisiana",4475,4254,620.1828,757
"Hillsdale County, Michigan",11883,12637,694.5322,757
"Early County, Georgia",4680,4311,739.8672,757
"Ralls County, Missouri",1661,3429,509.5654,758
"Athens County, Ohio",16907,19980,641.9436,758
"Lane County, Oregon",110880,143523,661.891,758
"Montgomery County, Indiana",15806,15398,716.293,759
"St. Joseph County, Michigan",19666,22030,754.3744,759
"Refugio County, Texas",2297,2532,614.7426,760
"Lubbock County, Texas",94130,132129,634.69,760
"Bristol County, Rhode Island",12257,13178,660.0776,760
"Washakie County, Wyoming",3012,3685,669.1446,760
"Stark County, Ohio",152756,154557,701.7858,760
"Effingham County, Georgia",4069,9371,705.4126,760
"St. Lawrence County, New York",34993,34560,723.5466,760
"Wheeler County, Nebraska",247,320,505.9386,761
"Dallam County, Texas",1974,4260,540.3932,761
"Ida County, Iowa",3002,3462,547.6468,761
"Tom Green County, Texas",36403,47584,609.3024,761
"Grand Traverse County, Michigan",32429,46183,632.8766,761
"Catawba County, North Carolina",83469,81758,640.1302,761
"Carter County, Oklahoma",15901,24280,649.1972,761
"Buchanan County, Missouri",37910,46600,658.2642,761
"Wood County, Wisconsin",36119,36302,738.0538,761
"Beauregard Parish, Louisiana",6897,8665,743.494,761
"Niagara County, New York",80551,70534,792.4558,761
"McCulloch County, Texas",2319,3141,498.685,762
"Wright County, Iowa",5293,5729,536.7664,762
"Douglas County, Minnesota",10773,17385,545.8334,762
"Bremer County, Iowa",7534,9802,592.9818,762
"Guadalupe County, Texas",14877,33204,602.0488,762
"Lincoln County, Wisconsin",9722,10612,602.0488,762
"Cerro Gordo County, Iowa",22077,23326,603.8622,762
"Park County, Wyoming",8485,12586,621.9962,762
"Campbell County, Kentucky",20407,28193,627.4364,762
"Lee County, Florida",128265,240108,641.9436,762
"Hawaii County, Hawaii",47373,66395,661.891,762
"Wagoner County, Oklahoma",5358,9046,524.0726,763
"Big Horn County, Wyoming",3025,4192,573.0344,763
"Oneida County, Wisconsin",12060,15614,591.1684,763
"Otsego County, New York",19843,22616,632.8766,763
"Delaware County, New York",16699,14367,645.5704,763
"Knox County, Ohio",14237,19888,661.891,763
"Oneida County, New York",102784,101465,716.293,763
"Kossuth County, Iowa",5478,6739,551.2736,764
"Mississippi County, Arkansas",18340,18103,580.288,764
"Cheatham County, Tennessee",4381,7812,645.5704,764
"Wyoming County, New York",11578,13523,654.6374,764
"Vermilion County, Illinois",31638,27976,714.4796,764
"Toole County, Montana",1566,1950,554.9004,765
"Jones County, Mississippi",20760,28202,582.1014,765
"St. Clair County, Illinois",73221,91313,685.4652,765
"Cayuga County, New York",23608,25255,701.7858,765
"Harrison County, Kentucky",4903,4679,616.556,766
"Chesapeake City, Virginia",45969,94945,641.9436,766
"Ellis County, Texas",21730,45373,651.0106,766
"Limestone County, Texas",6883,8166,605.6756,767
"Medina County, Ohio",34843,56780,658.2642,767
"Saline County, Illinois",8052,8348,690.9054,767
"St. Croix, Virgin Islands",17115,14180,721.7332,767
"Washington County, New York",15650,15122,750.7476,767
"Pickaway County, Ohio",13042,13336,752.561,767
"Marlboro County, South Carolina",9135,6820,536.7664,768
"Lawrence County, Illinois",4024,4472,582.1014,768
"Kendall County, Illinois",6956,26177,611.1158,768
"Windsor County, Vermont",21270,23217,649.1972,768
"Logan County, Ohio",13780,19108,683.6518,768
"Koochiching County, Minnesota",6590,4461,830.5372,768
"Matanuska-Susitna Borough, Alaska",6546,21455,843.231,768
"Kimball County, Nebraska",1367,1474,489.618,769
"Graham County, Arizona",5591,8517,583.9148,769
"Young County, Texas",6057,6987,636.5034,769
"Sebastian County, Arkansas",59773,64597,645.5704,769
"McCracken County, Kentucky",30887,37672,645.5704,769
"Marion County, Oregon",95074,139866,658.2642,769
"Escambia County, Florida",107776,123859,667.3312,769
"Clinton County, New York",30715,32224,676.3982,769
"Auglaize County, Ohio",16540,20421,694.5322,769
"Crawford County, Illinois",5644,7486,698.159,769
"Jefferson County, Illinois",14923,18840,767.0682,769
"Pendleton County, Kentucky",2056,2262,531.3262,770
"Hancock County, Maine",16270,18727,627.4364,770
"Muskogee County, Oklahoma",23829,29887,656.4508,770
"Fresno County, California",255729,352118,689.092,770
"Dillingham Census Area, Alaska",1951,2435,712.6662,770
"Erie County, Pennsylvania",114310,121996,725.36,770
"Goliad County, Texas",1160,1324,551.2736,771
"Custer County, Oklahoma",10186,13017,558.5272,771
"Santa Cruz County, Arizona",11524,14323,571.221,771
"Chester County, South Carolina",12152,8211,603.8622,771
"Dickenson County, Virginia",4070,3598,627.4364,771
"Union County, Pennsylvania",15053,16515,638.3168,771
"Boone County, Missouri",56289,89271,654.6374,771
"Big Horn County, Montana",2950,4551,719.9198,771
"Liberty County, Texas",12879,16488,558.5272,772
"Madison County, Ohio",8791,15131,632.8766,772
"Clinton County, Pennsylvania",10801,12674,634.69,772
"Itasca County, Minnesota",12046,15780,716.293,772
"Hancock County, Iowa",3600,6825,534.953,773
"Berkeley County, West Virginia",18139,31744,652.824,773
"Hopkins County, Kentucky",17287,17259,698.159,773
"Alfalfa County, Oklahoma",1415,1733,605.6756,774
"Washington County, Arkansas",53609,97681,627.4364,774
"Anderson County, Texas",13760,19171,647.3838,774
"Leon County, Florida",109429,142598,661.891,774
"Livingston County, Michigan",27897,53818,687.2786,774
"Bibb County, Georgia",75169,81909,723.5466,774
"Fremont County, Wyoming",11190,15982,574.8478,775
"Stutsman County, North Dakota",8513,11338,574.8478,775
"Fayette County, Georgia",19657,39325,591.1684,775
"Van Buren County, Michigan",15949,19703,641.9436,775
"Whitfield County, Georgia",47684,54722,676.3982,775
"Wayne County, New York",25990,27566,696.3456,775
"Pike County, Kentucky",20483,21782,712.6662,775
"Emery County, Utah",3568,3072,897.633,775
"Choctaw County, Mississippi",2105,1968,496.8716,776
"Comal County, Texas",15708,45966,573.0344,776
"Chisago County, Minnesota",8124,14366,573.0344,776
"Warren County, Kentucky",34642,59468,620.1828,776
"Santa Fe County, New Mexico",40797,60068,629.2498,776
"La Crosse County, Wisconsin",50159,67150,652.824,776
"Hardin County, Texas",6878,12607,525.886,777
"Johnson County, Texas",20479,45621,582.1014,777
"Bartow County, Georgia",19955,33629,676.3982,777
"Sherburne County, Minnesota",9168,24512,698.159,777
"Allen County, Ohio",52658,49019,738.0538,777
"Muskegon County, Michigan",56803,60971,776.1352,777
"Rhea County, Tennessee",10436,10390,783.3888,777
"Virginia Beach City, Virginia",115645,168257,600.2354,778
"Vermilion Parish, Louisiana",11036,13737,627.4364,778
"Alger County, Michigan",2108,2276,640.1302,778
"Poweshiek County, Iowa",7847,9404,645.5704,778
"Nevada County, California",20593,29746,654.6374,778
"Jackson County, Indiana",15366,20211,658.2642,778
"Addison County, Vermont",10850,13986,665.5178,778
"Craven County, North Carolina",30664,37981,667.3312,778
"Franklin County, Kentucky",27518,31053,694.5322,778
"Cheshire County, New Hampshire",28139,31588,703.5992,778
"Colbert County, Alabama",22417,23311,819.6568,778
"Webster County, Iowa",16892,18107,605.6756,779
"Douglas County, Nevada",17473,18195,669.1446,779
"Warren County, New York",29503,36083,705.4126,779
"Brookings County, South Dakota",10024,17475,560.3406,780
"Jasper County, Missouri",44342,58917,603.8622,780
"Pembina County, North Dakota",3120,3452,603.8622,780
"Carbon County, Utah",7540,8438,692.7188,780
"Marshall County, Iowa",16921,17659,705.4126,780
"Jackson County, Texas",3038,5672,594.7952,781
"Dodge County, Wisconsin",23981,33588,658.2642,781
"New Hanover County, North Carolina",59027,102755,665.5178,781
"Steele County, Minnesota",15118,20702,667.3312,781
"Wilcox County, Alabama",3902,2719,669.1446,781
"Troup County, Georgia",27483,37457,689.092,781
"Kay County, Oklahoma",19456,18231,747.1208,781
"Manitowoc County, Wisconsin",30573,32717,638.3168,782
"Coshocton County, Ohio",11955,10074,696.3456,782
"Windham County, Connecticut",33130,39183,748.9342,782
"Faribault County, Minnesota",4989,4624,504.1252,783
"Pitt County, North Carolina",48448,74045,632.8766,783
"Grayson County, Texas",36641,43892,712.6662,783
"Barceloneta Municipio, Puerto Rico",8942,9440,192.2204,784
"Washington County, Illinois",4124,5717,515.0056,784
"Hughes County, South Dakota",7629,10375,598.422,784
"Fredericksburg City, Virginia",18345,22877,638.3168,784
"Clinton County, Michigan",8370,15313,660.0776,784
"Lynchburg City, Virginia",45010,50432,705.4126,784
"Grand Forks County, North Dakota",28186,40538,591.1684,785
"Mesa County, Colorado",32841,58693,632.8766,785
"Luzerne County, Pennsylvania",129396,139036,641.9436,785
"Terry County, Texas",3501,3820,651.0106,785
"Waseca County, Minnesota",7078,6455,667.3312,785
"Gila County, Arizona",11026,14735,703.5992,785
"Moore County, Tennessee",1216,1743,705.4126,785
"Davis County, Utah",57371,114111,712.6662,785
"Stephenson County, Illinois",20139,16330,723.5466,785
"Muhlenberg County, Kentucky",8573,9089,738.0538,785
"Mckean County, Pennsylvania",16092,15637,643.757,786
"Maui + Kalawao County, Hawaii",50011,73629,699.9724,786
"Westmoreland County, Pennsylvania",115785,128859,721.7332,786
"Amador County, California",7830,11280,761.628,786
"Logan County, West Virginia",11730,10476,794.2692,786
"Saginaw County, Michigan",83051,81602,1109.8008,786
"Utah County, Utah",90607,200141,573.0344,787
"Talladega County, Alabama",23211,29362,651.0106,787
"Marathon County, Wisconsin",49416,68675,698.159,787
"Brooks County, Texas",2039,2672,504.1252,788
"Burleson County, Texas",2576,4146,549.4602,788
"Rockingham County, Virginia",21150,29921,638.3168,788
"Lassen County, California",6970,10052,728.9868,788
"Coffee County, Tennessee",19912,25312,730.8002,788
"Washington County, Colorado",1076,1239,516.819,789
"Duval County, Texas",2997,3721,560.3406,789
"Pittsburg County, Oklahoma",11361,16065,573.0344,789
"Eagle County, Colorado",17058,33545,596.6086,789
"Mower County, Minnesota",12106,15939,661.891,789
"Morgan County, Alabama",41110,46198,672.7714,789
"Portage County, Ohio",39571,52695,728.9868,789
"St. Martin Parish, Louisiana",10628,12755,498.685,790
"Dawson County, Montana",3017,3760,513.1922,790
"Churchill County, Nevada",5580,7608,674.5848,790
"Cochise County, Arizona",25973,34966,696.3456,790
"St. Joseph County, Indiana",111307,117097,727.1734,790
"Storey County, Nevada",658,5162,738.0538,791
"Doddridge County, West Virginia",757,1400,583.9148,792
"Kauai County, Hawaii",24743,30360,660.0776,792
"Ocean County, New Jersey",102994,150312,732.6136,792
"McHenry County, North Dakota",1054,1241,462.417,793
"Madison County, Mississippi",15987,51423,534.953,793
"Sarasota County, Florida",116416,158561,640.1302,793
"Floyd County, Iowa",5747,5776,554.9004,794
"Potter County, Texas",57109,78379,683.6518,794
"Caddo Parish, Louisiana",103732,115393,709.0394,794
"Scott County, Iowa",67871,88606,719.9198,794
"St. Clair County, Michigan",38856,43093,728.9868,794
"Foster County, North Dakota",1265,1580,469.6706,795
"Red River Parish, Louisiana",2248,2538,491.4314,795
"Stearns County, Minnesota",55218,82500,616.556,795
"McLennan County, Texas",75400,105859,640.1302,795
"Fond Du Lac County, Wisconsin",39018,45070,709.0394,795
"Marion County, West Virginia",18252,19401,730.8002,795
"Rock County, Wisconsin",55783,62321,750.7476,795
"Dewey County, Oklahoma",1290,1466,538.5798,796
"Silver Bow County, Montana",10957,15401,680.025,796
"Nassau County, Florida",11805,19975,712.6662,796
"Owen County, Indiana",2817,4407,487.8046,797
"Eau Claire County, Wisconsin",37338,55575,629.2498,797
"Lancaster County, Nebraska",111667,162502,654.6374,797
"Dubuque County, Iowa",41953,56896,680.025,797
"Monroe County, Indiana",48684,61061,687.2786,797
"Tuscaloosa County, Alabama",60126,90398,705.4126,797
"Allegan County, Michigan",25289,36438,750.7476,797
"Frederick County, Virginia",13085,28259,676.3982,798
"Rowan County, North Carolina",39490,45556,685.4652,798
"Ripley County, Indiana",9999,11515,788.829,798
"Pickens County, Georgia",3704,7293,591.1684,799
"York County, South Carolina",47047,82319,699.9724,799
"Trumbull County, Ohio",86472,68246,890.3794,799
"Johnson County, Illinois",1145,2380,466.0438,800
"Sherman County, Oregon",507,808,614.7426,800
"Lewis and Clark County, Montana",21472,34960,640.1302,800
"Rice County, Minnesota",18618,23007,652.824,800
"Grant County, New Mexico",8823,9230,656.4508,800
"Sarpy County, Nebraska",20228,65652,669.1446,800
"McLeod County, Minnesota",14228,16605,699.9724,800
"San Miguel County, Colorado",2321,5806,504.1252,801
"Knox County, Texas",1225,1223,549.4602,801
"Fulton County, Pennsylvania",3518,4902,591.1684,801
"Osceola County, Michigan",4774,5675,652.824,801
"Uinta County, Wyoming",6613,8794,672.7714,801
"Litchfield County, Connecticut",60904,59979,825.097,801
"Teton County, Wyoming",8831,18181,538.5798,802
"Thomas County, Georgia",17081,19937,574.8478,802
"Montgomery County, Alabama",111166,127495,670.958,802
"Alachua County, Florida",93199,121753,629.2498,803
"Smith County, Texas",62916,98600,696.3456,803
"Madison County, Illinois",83665,95264,765.2548,803
"Maury County, Tennessee",23211,29878,768.8816,803
"Macon County, Alabama",7040,4700,580.288,804
"Monroe County, Pennsylvania",41708,52551,645.5704,804
"Lee County, Illinois",12014,12784,645.5704,804
"Somerset County, Maryland",5383,6513,689.092,804
"Mineral County, Nevada",2640,1168,819.6568,804
"Sitka Borough, Alaska",3765,3862,841.4176,804
"Okaloosa County, Florida",52622,77652,585.7282,805
"Granville County, North Carolina",14485,20119,656.4508,805
"Washington County, Wisconsin",34677,52458,669.1446,805
"San Luis Obispo County, California",74388,112464,716.293,805
"Lorain County, Ohio",87672,94035,788.829,805
"Lincoln County, Wyoming",4059,5658,710.8528,806
"Kodiak Island Borough, Alaska",5360,6247,739.8672,806
"Orange County, New York",103247,136714,741.6806,806
"Dickinson County, Michigan",13404,13620,743.494,806
"Platte County, Wyoming",2592,3609,652.824,807
"York County, Maine",56124,62395,745.3074,807
"King William County, Virginia",3482,3639,821.4702,807
"Porter County, Indiana",43878,57787,843.231,807
"Wilson County, North Carolina",32789,36280,631.0632,808
"Lycoming County, Pennsylvania",49341,52923,674.5848,808
"Charles County, Maryland",26887,40773,709.0394,808
"McHenry County, Illinois",59377,92386,727.1734,808
"Inyo County, California",7288,7479,663.7044,809
"Bottineau County, North Dakota",1949,2518,493.2448,810
"DeKalb County, Indiana",15366,20902,721.7332,810
"Limestone County, Alabama",21058,22345,935.7144,810
"Latimer County, Oklahoma",3025,3193,505.9386,811
"Ste. Genevieve County, Missouri",4784,5354,602.0488,811
"Sandoval County, New Mexico",8695,28733,651.0106,811
"Clermont County, Ohio",35544,55809,707.226,811
"San Bernardino County, California",406233,676457,754.3744,811
"Harding County, South Dakota",340,434,409.8284,812
"Major County, Oklahoma",1807,2895,585.7282,812
"Whatcom County, Washington",49140,83591,640.1302,812
"Berkshire County, Massachusetts",61738,59991,763.4414,812
"Calhoun County, South Carolina",3818,4415,928.4608,812
"Clarke County, Virginia",3498,3596,641.9436,813
"Leavenworth County, Kansas",17347,20154,654.6374,813
"Kalkaska County, Michigan",3356,3635,741.6806,813
"Bay County, Michigan",34094,34511,776.1352,813
"Bell County, Texas",63132,112363,605.6756,814
"Stephens County, Oklahoma",12485,16474,649.1972,814
"Winchester City, Virginia",20394,24168,683.6518,814
"Lancaster County, Pennsylvania",187087,223381,748.9342,814
"Kings County, New York",408079,647337,774.3218,814
"Garvin County, Oklahoma",7246,9907,534.953,815
"Tolland County, Connecticut",34568,40308,779.762,815
"Defiance County, Ohio",16397,15493,886.7526,815
"Steele County, North Dakota",390,597,531.3262,816
"Black Hawk County, Iowa",56233,73913,743.494,816
"San Joaquin County, California",159851,223424,756.1878,816
"Ross County, Ohio",21329,27101,772.5084,816
"Reeves County, Texas",4069,4305,516.819,817
"Douglas County, Wisconsin",14319,15120,585.7282,817
"Lyon County, Minnesota",10605,14327,629.2498,817
"Portage County, Wisconsin",24580,32588,663.7044,817
"Brown County, Illinois",1137,3831,518.6324,818
"St. Johns County, Florida",26152,64861,573.0344,818
"Chenango County, New York",16686,17271,689.092,818
"San Benito County, California",10166,14869,694.5322,818
"Shawnee County, Kansas",87793,95612,716.293,818
"LaSalle County, Illinois",35016,42835,636.5034,819
"Marion County, Iowa",11943,16169,647.3838,819
"Pima County, Arizona",249924,354417,660.0776,819
"Radford City, Virginia",8285,5771,645.5704,820
"Clinton County, Ohio",15004,15715,652.824,820
"Austin County, Texas",5747,9970,676.3982,820
"Lawrence County, Mississippi",2899,2580,699.9724,820
"Beaver County, Pennsylvania",47527,51259,721.7332,820
"Hamilton County, Florida",4445,3031,1011.8772,820
"Randall County, Texas",16196,29019,582.1014,821
"Mason County, West Virginia",6904,5660,761.628,821
"Genesee County, Michigan",161444,130712,1100.7338,821
"Richmond County, Georgia",98966,104061,696.3456,822
"Blount County, Tennessee",22960,44737,716.293,822
"Hall County, Georgia",42156,77418,661.891,823
"Vanderburgh County, Indiana",91023,104761,692.7188,823
"Perry County, Mississippi",2407,1994,741.6806,824
"Mitchell County, Texas",2002,2325,534.953,825
"Rockdale County, Georgia",19431,31271,698.159,825
"Collier County, Florida",77195,139196,602.0488,826
"Mcpherson County, Kansas",11204,15053,636.5034,826
"Muscogee County, Georgia",70817,93256,681.8384,826
"Richmond County, New York",70128,110793,774.3218,826
"Boyd County, Kentucky",26311,24833,801.5228,826
"Lancaster County, South Carolina",17759,20975,631.0632,827
"Clarke County, Georgia",52095,64990,687.2786,827
"Hood County, Texas",5447,16577,571.221,828
"Stanislaus County, California",128271,173043,701.7858,828
"Lake County, Ohio",82922,92370,759.8146,828
"Cumberland County, New Jersey",56098,56794,770.695,828
"Laramie County, Wyoming",29458,45465,669.1446,829
"Seminole County, Florida",90766,170319,670.958,829
"Eaton County, Michigan",16685,39805,714.4796,829
"DeWitt County, Texas",5449,8017,496.8716,830
"Kenosha County, Wisconsin",38473,55230,761.628,830
"Kingfisher County, Oklahoma",4385,6104,632.8766,831
"St. Louis County, Minnesota",77457,95006,692.7188,831
"Sussex County, New Jersey",30628,37965,748.9342,831
"Palo Pinto County, Texas",6980,8315,549.4602,832
"Spartanburg County, South Carolina",103895,125034,707.226,832
"La Plata County, Colorado",12717,24696,558.5272,833
"Skagit County, Washington",28324,47079,603.8622,833
"Lowndes County, Alabama",3034,2263,672.7714,833
"Boone County, Kentucky",37136,78735,680.025,833
"Mobile County, Alabama",141470,165733,707.226,833
"Putnam County, West Virginia",10507,19742,741.6806,833
"Prince William County, Virginia",54921,117828,705.4126,834
"Elkhart County, Indiana",97109,121129,714.4796,834
"Atlantic County, New Jersey",132305,119764,805.1496,834
"Ottawa County, Ohio",13009,11825,819.6568,834
"Warrick County, Indiana",12517,15239,982.8628,834
"Butler County, Nebraska",1762,2634,467.8572,835
"Robertson County, Texas",3660,3961,592.9818,835
"Rogers County, Oklahoma",11774,28741,611.1158,835
"Yellowstone County, Montana",48433,78532,641.9436,835
"Washington County, Ohio",20889,24544,687.2786,835
"Jackson County, Michigan",50959,56027,808.7764,835
"Franklin County, Vermont",10947,16730,629.2498,836
"Ottawa County, Michigan",75163,114590,754.3744,836
"Clark County, Idaho",290,371,473.2974,837
"Martin County, Kentucky",3220,2589,1080.7864,837
"Van Buren County, Arkansas",2732,3921,455.1634,838
"Humphreys County, Tennessee",5460,5690,801.5228,838
"Oswego County, New York",33319,32780,845.0444,838
"Ozaukee County, Wisconsin",25630,39844,698.159,839
"Washington County, Rhode Island",36783,48579,741.6806,839
"Plymouth County, Iowa",6879,10612,547.6468,840
"Barnstable County, Massachusetts",62465,82729,692.7188,840
"Shoshone County, Idaho",4632,4512,745.3074,840
"Pend Oreille County, Washington",1814,2877,770.695,840
"Trimble County, Kentucky",1198,1024,854.1114,840
"Morton County, North Dakota",6782,10795,554.9004,841
"Waller County, Texas",7169,16777,605.6756,841
"Chemung County, New York",39711,36175,678.2116,841
"Indiana County, Pennsylvania",28402,31999,714.4796,841
"Allen County, Indiana",166481,177107,788.829,841
"Manassas Park City, Virginia",1526,2884,670.958,842
"Unicoi County, Tennessee",4196,4744,645.5704,843
"Roanoke City, Virginia",70877,65560,678.2116,843
"Hinds County, Mississippi",129498,119381,703.5992,843
"Wood County, Ohio",42733,61574,732.6136,843
"Cecil County, Maryland",18080,29683,745.3074,843
"Atascosa County, Texas",5573,13671,538.5798,844
"Monroe County, Iowa",2346,3572,549.4602,844
"Bradford County, Pennsylvania",20740,24592,714.4796,844
"Bernalillo County, New Mexico",236272,313410,723.5466,844
"Campbell County, Virginia",19305,16157,727.1734,844
"Hamilton County, Illinois",1427,2103,453.35,846
"Winnebago County, Illinois",120633,124019,783.3888,846
"Goodhue County, Minnesota",16208,21179,680.025,847
"Monterey County, California",128799,162197,710.8528,847
"Outagamie County, Wisconsin",70986,102412,763.4414,847
"Gloucester County, New Jersey",70778,100096,767.0682,847
"Panola County, Texas",7708,10100,669.1446,848
"Whitman County, Washington",12364,17613,687.2786,848
"Tyler County, West Virginia",2148,2408,904.8866,848
"Routt County, Colorado",9398,15022,589.355,849
"Spokane County, Washington",139589,204512,674.5848,849
"Moffat County, Colorado",4018,4620,850.4846,849
"Union County, South Dakota",3374,9168,549.4602,850
"St. Charles County, Missouri",62449,135120,721.7332,850
"Chatham County, Georgia",102602,141796,738.0538,850
"Shelby County, Ohio",21378,26598,797.896,850
"Parker County, Texas",11977,33278,567.5942,851
"Rusk County, Texas",10886,13923,641.9436,851
"Champaign County, Illinois",76828,87848,683.6518,851
"Houston County, Georgia",38085,56173,705.4126,851
"Washoe County, Nevada",137698,195429,759.8146,851
"Hancock County, Indiana",11180,20807,767.0682,851
"Gibson County, Indiana",9965,19612,632.8766,852
"Lincoln County, South Dakota",3282,18844,498.685,853
"Lee County, Texas",3896,7204,571.221,853
"Lee County, Iowa",16219,17607,665.5178,853
"Clark County, Nevada",359713,892916,754.3744,853
"York County, Pennsylvania",151961,170961,758.0012,853
"Santa Cruz County, California",89286,94357,763.4414,854
"Kane County, Illinois",137030,200730,768.8816,854
"Bowman County, North Dakota",1176,1710,491.4314,855
"Hunt County, Texas",23833,28260,714.4796,856
"Hampshire County, Massachusetts",51786,61589,734.427,856
"Montgomery County, Ohio",309150,243515,828.7238,856
"Schuyler County, Illinois",2327,1923,710.8528,858
"Sargent County, North Dakota",1646,2784,767.0682,858
"Knox County, Tennessee",164238,226905,681.8384,859
"Lake County, Minnesota",3141,4006,690.9054,859
"San Patricio County, Texas",12308,18711,707.226,859
"Greenville County, South Carolina",183429,251968,727.1734,859
"Calcasieu Parish, Louisiana",63086,90911,748.9342,859
"Will County, Illinois",87604,214116,805.1496,859
"Wayne County, West Virginia",7022,8785,663.7044,860
"Richland County, South Carolina",175220,210096,714.4796,860
"Kanawha County, West Virginia",94696,102157,781.5754,860
"Rutherford County, Tennessee",44687,112773,796.0826,860
"Kendall County, Texas",3225,13482,480.551,861
"Racine County, Wisconsin",72484,72270,756.1878,861
"Brevard County, Florida",160785,192852,788.829,861
"Kinney County, Texas",554,772,531.3262,862
"Hampton City, Virginia",57465,53219,687.2786,862
"Riverside County, California",331529,644370,754.3744,862
"Buchanan County, Virginia",11185,6998,850.4846,862
"Ogle County, Illinois",13724,15679,667.3312,863
"Linn County, Kansas",1986,2103,738.0538,863
"Roseau County, Minnesota",6752,8408,634.69,864
"Noble County, Oklahoma",3486,4599,689.092,864
"Pinellas County, Florida",349730,403171,687.2786,865
"Camden County, Georgia",8989,16109,748.9342,865
"Chesterfield County, Virginia",75610,125867,792.4558,865
"Renville County, North Dakota",623,822,467.8572,866
"El Dorado County, California",30259,50480,660.0776,867
"Tippecanoe County, Indiana",61436,80919,777.9486,867
"Nome Census Area, Alaska",2731,3824,850.4846,867
"Minnehaha County, South Dakota",70588,120270,652.824,868
"St. Tammany Parish, Louisiana",32341,84079,553.087,869
"San Juan County, New Mexico",30350,50541,745.3074,869
"Platte County, Missouri",24231,41116,875.8722,869
"Cooke County, Texas",9374,16568,587.5416,870
"Mingo County, West Virginia",8994,5844,848.6712,870
"Washington County, Minnesota",39551,76042,736.2404,871
"Kern County, California",191281,301829,781.5754,871
"Ada County, Idaho",99416,210842,741.6806,872
"Merrimack County, New Hampshire",54017,74879,743.494,872
"Livingston County, Illinois",11884,13786,696.3456,873
"Gregg County, Texas",49828,78275,654.6374,874
"Hamilton County, Tennessee",151632,187964,732.6136,874
"Fauquier County, Virginia",13956,20632,709.0394,875
"Marshall County, Kentucky",9090,10622,821.4702,875
"Warren County, Ohio",31169,83043,611.1158,876
"Victoria County, Texas",27543,41766,656.4508,876
"Washington County, Vermont",27389,32751,692.7188,876
"Crook County, Oregon",4988,5616,710.8528,877
"Kent County, Michigan",260984,361916,908.5134,877
"Windham County, Vermont",22838,23062,638.3168,878
"Charleston County, South Carolina",151828,228434,683.6518,878
"Cowlitz County, Washington",32733,36871,788.829,878
"Rosebud County, Montana",3990,3998,774.3218,879
"Moore County, Texas",7244,10439,670.958,880
"Kent County, Rhode Island",63434,71777,694.5322,880
"Carson City, Nevada",20612,27861,734.427,880
"Scott County, Kentucky",10218,25194,736.2404,880
"Lucas County, Ohio",214527,202819,812.4032,880
"Lewis County, West Virginia",5148,6610,574.8478,881
"Thurston County, Washington",62657,104101,723.5466,881
"Yuba County, California",17905,15571,748.9342,881
"Berks County, Pennsylvania",152664,166716,774.3218,881
